MOD NAME,PAGE LINK,NEXUS DOWNLOAD LINK,VERSION,COMMENT
Lua helper Patch for Purists,https://www.nexusmods.com/morrowind/mods/54629,,,Lua helper Dialogue ESP for Patch for Purists
Lua helper Tamriel Rebuilt,https://www.nexusmods.com/morrowind/mods/54629,,,Lua helper Dialogue ESP for Tamriel Rebuilt
Kezyma's Voices of Vvardenfell,https://www.nexusmods.com/morrowind/mods/52279,,,
Voices of Vvardenfell Unofficial Addon - Vivec,https://www.nexusmods.com/morrowind/mods/52333,,,
OpenMW Voices of Vvardenfell patch,https://www.nexusmods.com/morrowind/mods/54137,,,
Voiced Vivec and Yakety Yagrum,https://www.nexusmods.com/morrowind/mods/40994,https://www.nexusmods.com/morrowind/mods/40994?tab=files&file_id=87097,1.1,Remove Vivec.esp
Voice Overhaul,https://www.nexusmods.com/morrowind/mods/51215,https://www.nexusmods.com/morrowind/mods/51215?tab=files&file_id=1000032374,0.13,
Dual Faction Membership for NPCs,https://www.nexusmods.com/morrowind/mods/49885,,,
Quest Voice Greetings,https://www.nexusmods.com/morrowind/mods/52273,,,Quest Voice Greetings - Census Exercised version
Gares Last Gasp - New Ilunibi version,https://www.nexusmods.com/morrowind/mods/53926,,,New Ilunibi version
Idle Talk,https://www.nexusmods.com/morrowind/mods/46948,,,
Ultimate Creeper Party House,https://www.nexusmods.com/morrowind/mods/53641,,,
Nordic Banter,https://www.nexusmods.com/morrowind/mods/53715,,,
Sermons and Preachers Vanilla edit,https://www.nexusmods.com/morrowind/mods/53294,,,
Immersive Morrowind,https://www.nexusmods.com/morrowind/mods/54513,,,
Friends Reunited,https://www.nexusmods.com/morrowind/mods/53601,,,
BALANCE,,,,
Wares Ultimate,https://www.nexusmods.com/morrowind/mods/52013,,,"Wares_lists_OAAB, Wares_lists_TD, Wares_MOAR, Wares_traders, Wares-base. Disable Wares_MOAR.ESP before using delta-plugin, enable it once the merging process is complete"
Friends and Foes,https://www.nexusmods.com/morrowind/mods/49251,,,"Friends_and_Foes_base.esm, F&F_Vvardenfell.ESP, F&F_Mainland.ESP"
Morrowind Anti-Cheese,https://www.nexusmods.com/morrowind/mods/47305,,,
Protective Guards (OpenMW),https://www.nexusmods.com/morrowind/mods/46992,https://www.nexusmods.com/morrowind/mods/46992?tab=files&file_id=1000033076,0.17,
Coherent Guards Reaction (OpenMW) [Alt. Price Balance Version],https://www.nexusmods.com/morrowind/mods/52426,,,Alt. Price Balance Version
Protective Guards - Factions and NPCs Protections (OpenMW),https://www.nexusmods.com/morrowind/mods/54858,,,
NCGDMW Lua Edition,https://modding-openmw.gitlab.io/ncgdmw-lua/,,,Natural Character Growth and Decay
Better Moon and Star,https://www.nexusmods.com/morrowind/mods/45629,https://www.nexusmods.com/morrowind/mods/45629?tab=files&file_id=1000010137,Final,
Attend Me,https://www.nexusmods.com/morrowind/mods/51232,https://www.nexusmods.com/morrowind/mods/51232?tab=files&file_id=1000034092,1.8,"Version 1.8 of the mod doesn't show up in the ""Scripts"" menu, replace the mod with this https://www.dropbox.com/scl/fi/48mjo3zlxk1qhkng8ldap/attend-me-0.49.7z?rlkey=kygw3eewfwqi547i6892do789&st=c9bqvfkp&dl=0 It might be fixed in the future updates"
Rapport - OpenMW Companions,https://www.nexusmods.com/morrowind/mods/54132,,,
Infinite Skeleton Key,https://www.nexusmods.com/morrowind/mods/45682,https://www.nexusmods.com/morrowind/mods/45682?tab=files&file_id=1000010259,1,
Better Balanced Booze,https://www.nexusmods.com/morrowind/mods/45844,https://www.nexusmods.com/morrowind/mods/45844?tab=files&file_id=1000010972,1.0,
Rarer Scrap Metal,https://www.nexusmods.com/morrowind/mods/47068,https://www.nexusmods.com/morrowind/mods/47068?tab=files&file_id=1000017437,1.1,
Vanilla friendly creatures and undeads expansion,https://www.nexusmods.com/morrowind/mods/48818,,,
Vanilla Friendly Creatures and Undeads Expansion Normal Mapped,https://www.nexusmods.com/morrowind/mods/52567,,,
MDMD - More Deadly Morrowind Denizens,https://www.nexusmods.com/morrowind/mods/48745,https://www.nexusmods.com/morrowind/mods/48745?tab=files&file_id=1000026670,1.0.5,
Early Transport to Mournhold,https://www.nexusmods.com/morrowind/mods/47985,https://www.nexusmods.com/morrowind/mods/47985?tab=files&file_id=1000026804,1.2.1,Guards in Ebonheart will tell you (rumor) that Asciene Rane can transport you to Mournhold
Real Disposition,https://www.nexusmods.com/morrowind/mods/51427,https://www.nexusmods.com/morrowind/mods/51427?tab=files&file_id=1000033947,1,PR Real Disposition Base
Price Balance,https://www.nexusmods.com/morrowind/mods/45529,,,
Economy Fixes v1.0 - Item List Only,https://web.archive.org/web/20161103134548/http://mw.modhistory.com/download-90-578,,,Item List Only
Beware the Sixth House,https://www.nexusmods.com/morrowind/mods/46036,https://www.nexusmods.com/morrowind/mods/46036?tab=files&file_id=1000033869,3.0.2,
NPC Faction Affiliation Corrector,https://www.nexusmods.com/morrowind/mods/47743,https://www.nexusmods.com/morrowind/mods/47743?tab=files&file_id=1000027180,,Minimalistic
Hortator,https://www.nexusmods.com/morrowind/mods/46856,https://www.nexusmods.com/morrowind/mods/46856?tab=files&file_id=1000027211,1.1,
Zack's Lua Multimark (OpenMW),https://www.nexusmods.com/morrowind/mods/53260,,,
Quick Spell Casting (OpenMW),https://www.nexusmods.com/morrowind/mods/52130/,https://www.nexusmods.com/morrowind/mods/52130?tab=files&file_id=1000034459,0.1,
Faction Service,https://www.nexusmods.com/morrowind/mods/45196,https://www.nexusmods.com/morrowind/mods/45196?tab=files&file_id=1000011051,1.3,
Projectile Overhaul - Modular,https://www.nexusmods.com/morrowind/mods/43195,https://www.nexusmods.com/morrowind/mods/43195?tab=files&file_id=1000002690,1.11,Faster magic missles and projectiles
Mass Cure,https://www.nexusmods.com/morrowind/mods/49615,,,
Hircine's Artifacts,https://www.nexusmods.com/morrowind/mods/47671,https://www.nexusmods.com/morrowind/mods/47671?tab=files&file_id=1000017429,1.2,
No Witness - No Bounty,https://www.nexusmods.com/morrowind/mods/53384,,,
Devilish Vampire Overhaul (Total Overhaul Edition),https://www.nexusmods.com/morrowind/mods/52969,,,
Devilish Guar Riding (OpenMW),https://www.nexusmods.com/morrowind/mods/55516,,,
Devilish Horse Riding (OpenMW),https://www.nexusmods.com/morrowind/mods/55479,,,
Another Pickpocketing Fix,https://www.nexusmods.com/morrowind/mods/52422,,,
Creatures Open Doors,https://www.nexusmods.com/morrowind/mods/54567,,,
Thief Experience Overhaul,https://web.archive.org/web/20161103135717/http://mw.modhistory.com/download-37-7250,,,"Improved Lockpicking.esp, Improved Open Spell Balance-LD.esp, Improved Trap Settings (Tribunal).esp"
Solthas Sneak Attack Buff (OpenMW),https://www.nexusmods.com/morrowind/mods/52352,,,
TakeCover (OpenMW),https://www.nexusmods.com/morrowind/mods/54976,,,
No Sneaky Sleeping (OpenMW),https://www.nexusmods.com/morrowind/mods/53539,,,
NPCs and Creatures Rest (OpenMW),https://www.nexusmods.com/morrowind/mods/55420,,,
Pharis’ Magicka Regeneration (OpenMW),https://modding-openmw.gitlab.io/pharis-magicka-regeneration/,,,
Comprehensive Rebalance (OpenMW),https://www.nexusmods.com/morrowind/mods/53663,,,"Disable everything except: No Backwards Running, Drawbacks to Shields -5 to all weapon skills, Restrictive Armour"
Bound Balanc (OpenMW),https://modding-openmw.gitlab.io/bound-balance/,,,
Redoran Patrols - Gnisis,https://www.nexusmods.com/morrowind/mods/49484,,,
Hidden Sea Loot,https://www.nexusmods.com/morrowind/mods/52296,,,
Bad Default Spells - Disable Useless Spells for NPCs,https://www.nexusmods.com/morrowind/mods/45674,,,Miscellaneous files
Actors Can Get Out Water (OpenMW),https://www.nexusmods.com/morrowind/mods/55187,,,
Command Spells Are Illusion & Turn Undead Is Restoration,https://www.dropbox.com/scl/fi/m4mpv0y3a19hpg03xcrna/CommandSpellsAreIllusionTurnUndeadIsRestoration.7z?rlkey=v1dv3o7whlupev8ocmhr4l7fo&st=kb0nh2ig&dl=0,,,
Fatigue and Speed and Carryweight Rebalance (OpenMW) [Less Carry Weight],https://www.nexusmods.com/morrowind/mods/52981,,,Less Carry Weight
SURVIVAL MODS,,,,
Simple Sleeping,https://www.mediafire.com/file/g9yn63mz0y0qquv/Simple_Sleeping.7z/file,https://www.dropbox.com/scl/fi/232gu8bu2zasmzhwaevki/Simple-Sleeping.7z?rlkey=pujra23cnwjvvwuvybmwbzoa9&st=eo1u1rhh&dl=0,-,"Adds a portable bedroll you can buy at Seyda Neen. Sleeping anywhere for 6 or more hours grants you ""Well Rested"" buff.(30 stamina for 12 hours)."
Cooking and Eating,https://www.nexusmods.com/morrowind/mods/46507,https://www.nexusmods.com/morrowind/mods/46507?tab=files&file_id=1000019475,1.6,
Cooking and Eating - Enable Hunger,https://www.dropbox.com/scl/fi/vwd8w0xqx1u201jqe7fr8/Cooking-and-Eating-Enable-Hunger.7z?rlkey=b18ex51ycjzdm3nqnvdqocyg1&st=tay3ku2m&dl=0,,,"or just type ""Set EnableHunger to 1"" once in the console at the start of the playthrough"
Cooking and Eating Cooking and Eating - Publicans Expansion,https://www.nexusmods.com/morrowind/mods/48955,https://www.nexusmods.com/morrowind/mods/48955?tab=files&file_id=1000033962,1.3.0,Food in Shops TR PT
Water and Thirst,https://www.nexusmods.com/morrowind/mods/46509,https://www.nexusmods.com/morrowind/mods/46509?tab=files&file_id=1000016407,1.2,"Overrides Djangos Dialogue ""services"" topic, load it before this mod and add ""water"" topic manually"
Fish with Fishing Poles,https://www.nexusmods.com/morrowind/mods/47230,https://www.nexusmods.com/morrowind/mods/47230?tab=files&file_id=1000016089,2.0,
Yurt Crafting,https://www.nexusmods.com/morrowind/mods/47356,https://www.nexusmods.com/morrowind/mods/47356?tab=files&file_id=1000016438,1.0,Alternative: https://www.nexusmods.com/morrowind/mods/45035
QUALITY OF LIFE / IMMERSIVE,,,,
QuickLoot (OpenMW),https://www.nexusmods.com/morrowind/mods/54950,,,
Containers Animated OpenMW,https://www.nexusmods.com/morrowind/mods/46232,https://www.nexusmods.com/morrowind/mods/46232?tab=files&file_id=1000016287,1.2.2,
Quick Action (OpenMW),https://www.nexusmods.com/morrowind/mods/54969,,,
Updated Pluginless No Glow,https://www.nexusmods.com/morrowind/mods/45943,https://www.nexusmods.com/morrowind/mods/45943?tab=files&file_id=1000011423,1.0," ""Didnt even have  a texture folder. just made a folder named ""Textures"", added ""magicitem"" in that and it works perfect."""
Dot Crosshair Recolored,https://www.nexusmods.com/morrowind/mods/55527,,,
Enough Does Not Have Enough,https://www.nexusmods.com/morrowind/mods/54176,,,
Descriptive Shrines,https://www.nexusmods.com/morrowind/mods/46119,https://www.nexusmods.com/morrowind/mods/46119?tab=files&file_id=1000012375,1.12,
Stackable Ash Statues,https://www.nexusmods.com/morrowind/mods/53628,,,
Smart Ammo (OpenMW),https://modding-openmw.gitlab.io/smart-ammo/,https://www.nexusmods.com/morrowind/mods/51274?tab=files&file_id=1000031879,1.1,"New, It will remember and prefer last hand-picked ammo if pressing Alt while equipping it."
TimeScale Change - OpenMW,https://www.nexusmods.com/morrowind/mods/46332,https://www.nexusmods.com/morrowind/mods/46332?tab=files&file_id=1000013194,1.0,I use 10 https://www.dropbox.com/scl/fi/444qh1tq6hed7ywdi2vl2/TimescaleChange10.7z?rlkey=e8e2r6ys8pzbuva3n7ptm3jct&st=6q6gl9x2&dl=0
Illustrated ABC's for Barbarians,https://www.nexusmods.com/morrowind/mods/49310,https://www.nexusmods.com/morrowind/mods/49310?tab=files&file_id=1000022986,1.0.3,
Comrade Raven's Book Arts Replacer,https://www.nexusmods.com/morrowind/mods/48896,https://www.nexusmods.com/morrowind/mods/48896?tab=files&file_id=1000021136,1.0,
FMI - Sane Ordinators,https://www.nexusmods.com/morrowind/mods/47381,,,
Religions Elaborated,https://www.nexusmods.com/morrowind/mods/47843,https://www.nexusmods.com/morrowind/mods/47843?tab=files&file_id=1000032178,1.06,Disallows being in Tribunal Temple and Imperial Cult at the same time.
Offerings and Blessings - Daedric Statues,https://www.nexusmods.com/morrowind/mods/49697,https://www.nexusmods.com/morrowind/mods/49697?tab=files&file_id=1000024434,1.0.210507,
Clear Your Name,https://www.nexusmods.com/morrowind/mods/43786,https://www.nexusmods.com/morrowind/mods/43786?tab=files&file_id=1000024988,1.3,Carolus Allectus at Fort Moonmoth
Dwemer Lighting Rods,https://www.nexusmods.com/morrowind/mods/50236,https://www.nexusmods.com/morrowind/mods/50236?tab=files&file_id=1000026759,1.0.0,
Saprius Disguised,https://www.nexusmods.com/morrowind/mods/50377,https://www.nexusmods.com/morrowind/mods/50377?tab=files&file_id=1000027660,1.0,
Better Bars (OpenMW),https://www.nexusmods.com/morrowind/mods/54951,,,If you want a sneak indicator that matches Dot Crosshar Recolored replace a file located in textures folder with this one: https://www.dropbox.com/scl/fi/njzmcbio35xand0mjrifw/myUI_sneak.dds?rlkey=1ki3zknmjyoxv18wrtkv58cqu&st=zasqnswz&dl=0
Ashlander Traders Remastered - BCOM and Wares Version,https://www.nexusmods.com/morrowind/mods/48009,,,
abotBoats,https://www.nexusmods.com/morrowind/mods/42270,,,
abotBoatsFirewatchPatchTR2310,https://www.nexusmods.com/morrowind/mods/42270,,,
Abot Boats OpenMW patch,https://www.nexusmods.com/morrowind/mods/55378,,,
Replacement ships for Abot's Boats,https://www.nexusmods.com/morrowind/mods/51560,,,
Light Hotkey - OpenMW Lua,https://modding-openmw.gitlab.io/light-hotkey/,,,
Corprus Natives,https://www.nexusmods.com/morrowind/mods/45674,,,
M'Aiq on the Mainland,https://www.nexusmods.com/morrowind/mods/45674,,,
Riders,https://www.nexusmods.com/morrowind/mods/46868?,https://www.nexusmods.com/morrowind/mods/46868?tab=files&file_id=1000034148,0.62,
Thirteen Telvanni - a Dunmeri Card Game,https://www.nexusmods.com/morrowind/mods/52081,https://www.nexusmods.com/morrowind/mods/52081?tab=files&file_id=1000034402,1.02,BCOM version + TR
Nine-holes,https://www.nexusmods.com/morrowind/mods/52093,https://www.nexusmods.com/morrowind/mods/52093?tab=files&file_id=1000034387,1.01,BCOM version + TR
Dartboards,https://www.nexusmods.com/morrowind/mods/47976,,,
Blades Informant,https://www.nexusmods.com/morrowind/mods/48084,https://www.nexusmods.com/morrowind/mods/48084?tab=files&file_id=1000027139,1.1,
Septim Gold and Dwemer Dumacs,https://www.nexusmods.com/morrowind/mods/1634,,,
Lovley Loading Screens,https://www.nexusmods.com/morrowind/mods/42313,https://www.nexusmods.com/morrowind/mods/42313?tab=files&file_id=90794,1.0,
Pacifist Options - When it Makes Sense,https://www.nexusmods.com/morrowind/mods/47961,https://www.nexusmods.com/morrowind/mods/47961?tab=files&file_id=1000027162,1.1,
Real Signposts,https://www.nexusmods.com/morrowind/mods/3879,https://www.nexusmods.com/morrowind/mods/3879?tab=files&file_id=3247,-,"WRYE MASH: Find the mod, On the right, will be the the Morrowind, Tribunal and Bloodmoon. Click on one of the right side lists, then click OK in the popup. Hit SAVE. Viola, problem solved."
Skooma Pipe,https://web.archive.org/web/20161103153420/http://download.fliggerty.com/file.php?id=1082,,-,"Smoke Moon sugar using Skooma pipe. You will be asked whether you wish to smoke the pipe or pick it up. Smoking Skooma pipe has similar effects as drinking Skooma, only longer but weaker."
Slof's Boethia's Pillow Book,https://www.nexusmods.com/morrowind/mods/46162,https://www.nexusmods.com/morrowind/mods/46162?tab=files&file_id=1000012565,1.0,"NSFW, Fixed replacement plugin: https://www.angelfire.com/rpg2/mad_weather/smallimp.htm"
The Sitting Mod,https://www.nexusmods.com/morrowind/mods/48782,https://www.nexusmods.com/morrowind/mods/48782?tab=files&file_id=1000021347,1.4.1,OpenMW compatible. Adds amulet on top of the barrel in Seyda Neen. Equipping it allows you to chose animations. Hotfix: https://www.nexusmods.com/morrowind/mods/48782?tab=files&file_id=1000021944
FMI - Caius Big Package,https://www.nexusmods.com/morrowind/mods/47580,https://www.nexusmods.com/morrowind/mods/47580?tab=files&file_id=1000017372,1.0,
Improved Thrown Weapon Projectiles,https://www.nexusmods.com/morrowind/mods/44763,https://www.nexusmods.com/morrowind/mods/44763?tab=files&file_id=1000007334,1.0,
Cave Drips,https://www.nexusmods.com/morrowind/mods/43488,https://www.nexusmods.com/morrowind/mods/43488?tab=files&file_id=1000005302,2001.1.1,
Big Icons,https://www.nexusmods.com/morrowind/mods/49662,https://www.nexusmods.com/morrowind/mods/49662?tab=files&file_id=1000025298,2001.1.2,
Traveling Merchants,https://mw.modhistory.com/download-90-15577,https://www.dropbox.com/scl/fi/fxh1t8brtbnp2t7fx6i79/Traveling-Merchants-v23.7z?rlkey=br4zc2tt4rq6h6l6ou8o9drzg&st=yaqmnl6v&dl=0,,
Traveling Merchants OpenMW BCOM ,https://www.nexusmods.com/morrowind/mods/50115,https://www.nexusmods.com/morrowind/mods/50115?tab=files&file_id=1000026275,,
Sheathe Your Weapon,https://www.nexusmods.com/morrowind/mods/53528,,,
House Shrines and Statues,https://www.nexusmods.com/morrowind/mods/52067,,,
Repopulated Waters - Rowing NPCs,https://www.nexusmods.com/morrowind/mods/53653,,,
Apartments of Morrowind,https://www.nexusmods.com/morrowind/mods/45580,,,
Yet Another Guard Diversity - Regular,https://www.nexusmods.com/morrowind/mods/45894,,,
Audiobooks of Morrowind,https://www.nexusmods.com/morrowind/mods/52458,,,
Audiobooks of Tamriel Rebuilt,https://www.nexusmods.com/morrowind/mods/54478,,,
OpenMW Skyrim Style Quest Notifications,https://www.nexusmods.com/morrowind/mods/54148,,,
Convenient Thief Tools (OpenMW),https://modding-openmw.gitlab.io/convenient-thief-tools/,,,
OpenMW Animated Pickup and Shop Around,https://www.nexusmods.com/morrowind/mods/54585,,,
Go home (OpenMW),https://modding-openmw.gitlab.io/go-home/,,,
OpenMW Dynamic Actors,https://www.nexusmods.com/morrowind/mods/54782,,,
Tabletop Alchemy (OpenMW),https://www.nexusmods.com/morrowind/mods/52891,,,
First Person View Dynamics (OpenMW),https://www.nexusmods.com/morrowind/mods/55327,,,
Buff Timers for OpenMW,https://www.nexusmods.com/morrowind/mods/55305,,,
SME - Useful Widgets - Actor Info - Health Bar - Hit Chance (OpenMW),https://www.nexusmods.com/morrowind/mods/53996,,,"Version 1.2.1 Causes lag with Graphic Herbalism, replace this file to fix it: https://www.dropbox.com/scl/fi/zd3lv31kampfvypqzzoxw/sme_widget.lua?rlkey=qcdsos84x4f6rw1k4qfv8jbqf&st=3euvjyfs&dl=0"
Perfect Placement OpenMW,https://www.nexusmods.com/morrowind/mods/46562,,,
Interface Reimagined for OpenMW,https://www.nexusmods.com/morrowind/mods/54985,,,
Quicktrain,https://www.nexusmods.com/morrowind/mods/53771,,,
HD Forge for OpenMW-Lua,https://modding-openmw.gitlab.io/hd-forge-for-openmw-lua/,,,
Most Wanted Nerevarine,https://www.nexusmods.com/morrowind/mods/53717,,,
OpenMW Impact Effects,https://www.nexusmods.com/morrowind/mods/55508,,,
Transmog Menu (OpenMW),https://modding-openmw.gitlab.io/s3ctors-s3cret-st4sh/transmog/,,,
ARMOR / CLOTHING,,,,
Better Morrowind Armor,https://www.nexusmods.com/morrowind/mods/42509,https://www.nexusmods.com/morrowind/mods/42509?tab=files&file_id=1000000539,0.5.2RC,Hi Rez Patch & Snow Armor Redux Patch
Daggerlad,https://www.nexusmods.com/morrowind/mods/49065,https://www.nexusmods.com/morrowind/mods/49065?tab=files&file_id=1000022949,1.1,
Daggerlad Upscaled 4x,https://www.nexusmods.com/morrowind/mods/53410,,,
Robe of the Drake's Pride,https://www.nexusmods.com/morrowind/mods/49417,https://www.nexusmods.com/morrowind/mods/49417?tab=files&file_id=1000023585,1.3,
Robe of the Drake's Pride - Recolored,https://www.nexusmods.com/morrowind/mods/49420,https://www.nexusmods.com/morrowind/mods/49420?tab=files&file_id=1000023418,2.0,
Telvanni Magister Robes,https://www.nexusmods.com/morrowind/mods/52278,,,
Telvanni Magister Robes Normal Mapped,https://www.nexusmods.com/morrowind/mods/52567,,,
Redoran War Armor and Sathil Mercenary Equipment,https://www.nexusmods.com/morrowind/mods/44038,,,
Sathil Mercenary and Redoran War Armor V3,https://www.nexusmods.com/morrowind/mods/53812,,,
Adventurer's Backpack - Wares,https://www.nexusmods.com/morrowind/mods/43213,,,
Indoril Ronin,https://www.nexusmods.com/morrowind/mods/50689,https://www.nexusmods.com/morrowind/mods/50689?tab=files&file_id=1000029276,1.00.2,
Netch Scout Helm,https://www.nexusmods.com/morrowind/mods/50636,https://www.nexusmods.com/morrowind/mods/50636?tab=files&file_id=1000029232,1.02.0,
Morag Tong Equipment Diversity,https://www.nexusmods.com/morrowind/mods/50738,https://www.nexusmods.com/morrowind/mods/50738?tab=files&file_id=1000029428,1.2,
Many Cloth Helms,https://www.nexusmods.com/morrowind/mods/49282,https://www.nexusmods.com/morrowind/mods/49282?tab=files&file_id=1000023828,1.1,
Mage Robes,https://www.nexusmods.com/morrowind/mods/45739,https://www.nexusmods.com/morrowind/mods/45739?tab=files&file_id=1000034058,2.2.0,
Mage Robes OpenmW Lua,https://modding-openmw.gitlab.io/mage-robes-for-openmw-lua/,,,
Concept Art Dunmer Helmets,https://www.nexusmods.com/morrowind/mods/52043,https://www.nexusmods.com/morrowind/mods/52043?tab=files&file_id=1000034118,1.01,
Dwemer Scrap Armor,https://www.nexusmods.com/morrowind/mods/47665,https://www.nexusmods.com/morrowind/mods/47665?tab=files&file_id=1000034153,2.0,
Heavy Chitin Armor,https://www.nexusmods.com/morrowind/mods/47684,https://www.nexusmods.com/morrowind/mods/47684?tab=files&file_id=1000027412,1.51,Wares Ultimate Patch: https://www.nexusmods.com/morrowind/mods/47684?tab=files&file_id=1000027025
